frame,mother,patient,therapist
240,5.34942e-06,0.00720674,0.00289184
241,5.34942e-06,0.00556574,0.00333674
242,1.06988e-05,0.00542215,0.00333674
243,0,0.00553155,0.00360368
244,0,0.00508027,0.00364817
245,0,0.00250937,0.0048494
246,0,0.000875202,0.00404858
247,5.34942e-06,0.000478626,0.00320327
248,1.06988e-05,0.000581189,0.00333674
249,5.34942e-06,0.000888877,0.00373715
250,5.34942e-06,0.0016957,0.00333674
251,0,0.0011487,0.00533879
252,1.60483e-05,0.000287176,0.00355919
253,1.06988e-05,0.000560676,0.00231348
254,0,0.00131964,0.00480491
255,5.34942e-06,0.000635889,0.00387062
256,5.34942e-06,0.000430763,0.00284736
257,4.27954e-05,0.00134015,0.00364817
258,0.000310267,0.000663239,0.00436001
259,0.00120362,0.000294013,0.0039596
260,0.00148179,0.000574351,0.00347021
261,0.000176531,0.00144955,0.00275838
262,0.000304917,0.00141537,0.00302531
263,0.00036911,0.0011487,0.00449348
264,0.000411906,0.000916227,0.00293633
265,0.000294218,0.00103246,0.00204654
266,8.55908e-05,0.0010393,0.00373715
267,2.67471e-05,0.000184613,0.00302531
268,5.34942e-06,0.000307688,0.00382613
269,5.34942e-06,0.000526489,0.00422654
270,5.34942e-06,2.05125e-05,0.00315878
271,5.34942e-06,3.41876e-05,0.00244695
272,1.06988e-05,0.000143588,0.00324776
273,5.34942e-06,8.20502e-05,0.00391511
274,0,2.73501e-05,0.0022245
275,0,2.05125e-05,0.00360368
276,0,6.83751e-06,0.00262491
277,5.34942e-06,2.05125e-05,0.00240246
278,5.34942e-06,0,0.00378164
279,0,1.3675e-05,0.00378164
280,0,2.05125e-05,0.00329225
281,5.34942e-06,7.52126e-05,0.00400409
282,0,0.000129913,0.00378164
283,5.34942e-06,0.000369226,0.00311429
284,5.34942e-06,0.00125126,0.00360368
285,0,0.00250937,0.00369266
286,0,0.00426661,0.0030698
287,0,0.0045743,0.00524981
288,5.34942e-06,0.00484096,0.00360368
289,0,0.00746656,0.00249144
290,1.06988e-05,0.0149263,0.0048494
291,1.06988e-05,0.0235894,0.00333674
292,1.06988e-05,0.0297637,0.00418205
293,5.34942e-06,0.0350217,0.00271389
294,5.34942e-06,0.0349807,0.00320327
295,5.34942e-06,0.037661,0.00280287
296,1.06988e-05,0.0338252,0.00493838
297,0,0.0271107,0.00364817
298,1.06988e-05,0.0174493,0.00333674
299,5.34942e-06,0.0161365,0.00275838
300,5.34942e-06,0.0169639,0.00409307
301,0,0.0137844,0.00275838
302,5.34942e-06,0.0202937,0.00315878
303,5.34942e-06,0.0222424,0.00293633
304,2.67471e-05,0.0225364,0.0039596
