frame,patient,mother,therapist
252,0.00376044,0.000108263,0.00223316
253,0.00581549,0.000121,0.0034181
254,0.00743499,0.000229263,0.00483092
255,0.00752701,6.36841e-05,0.00514994
256,0.00521431,5.09473e-05,0.00382827
257,0.00326354,2.54737e-05,0.0034181
258,0.00198757,4.45789e-05,0.00273448
259,0.00120236,3.82105e-05,0.00309908
260,0.00139866,6.36841e-05,0.00382827
261,0.000582776,3.18421e-05,0.00401057
262,0.000282186,8.27894e-05,0.00405615
263,0.000785213,0.000152842,0.00419287
264,0.000852693,8.27894e-05,0.00278006
265,0.000864962,7.00525e-05,0.00296236
266,0.000742272,5.73157e-05,0.00469419
267,0.000220841,6.36841e-05,0.00460304
268,0.000214707,1.91052e-05,0.00332695
269,0.000564372,1.91052e-05,0.00319023
270,0.00204278,2.54737e-05,0.00278006
271,0.0053738,1.91052e-05,0.00423845
272,0.00712827,2.54737e-05,0.00888707
273,0.00509162,1.27368e-05,0.00806672
274,0.00215934,2.54737e-05,0.00665391
275,0.00255194,6.36841e-06,0.00806672
276,0.00326354,1.91052e-05,0.00519552
277,0.00393834,6.36841e-06,0.00501322
278,0.00469288,3.82105e-05,0.00583356
279,0.00530019,1.91052e-05,0.00492207
280,0.00261942,1.27368e-05,0.00391942
281,0.000926306,0.000108263,0.00473977
282,0.000171765,4.45789e-05,0.00355483
283,0.000214707,1.27368e-05,0.0032358
284,0.00174219,1.91052e-05,0.00282563
285,0.0032206,4.45789e-05,0.00309908
286,0.00275438,8.27894e-05,0.00460304
287,0.0014416,0.000216526,0.00451189
288,0.00111034,0.000375736,0.00300793
289,0.000895634,0.000528578,0.00259776
290,0.00242312,0.000554052,0.00300793
291,0.0048217,0.000121,0.00505879
292,0.00528179,9.55262e-05,0.00556011
293,0.00457632,5.09473e-05,0.00852247
294,0.00378497,2.54737e-05,0.0072008
295,0.00363775,6.36841e-06,0.00542339
296,0.00536767,6.36841e-06,0.00401057
297,0.00457632,2.54737e-05,0.00291678
298,0.00282186,3.18421e-05,0.00469419
299,0.00317153,1.27368e-05,0.00464862
300,0.00322674,1.27368e-05,0.00314465
301,0.00191396,6.36841e-06,0.00273448
302,0.000343531,3.18421e-05,0.00546896
303,0.00064412,1.27368e-05,0.00606143
304,0.000263783,0.000318421,0.00423845
305,0.000349665,0.00040121,0.00337253
306,0.00128211,8.27894e-05,0.00391942
307,0.0037359,6.36841e-06,0.00337253
308,0.00586456,6.36841e-06,0.00337253
309,0.00322674,6.36841e-06,0.00346368
310,0.000398741,1.27368e-05,0.00514994
311,0.000687062,6.36841e-06,0.00437517
312,0.000693196,6.36841e-06,0.00218759
313,0.000435548,1.27368e-05,0.00314465
314,0.00118395,3.82105e-05,0.00501322
315,0.00312858,1.91052e-05,0.00391942
316,0.00379724,1.27368e-05,0.00405615
317,0.00277278,2.54737e-05,0.00309908
