"","video","frame_index","slidedFather","slidedMother","slidedPatient","slidedTherapist"
"65","F1044E1",65,-10.4391251185928,-10.9719887561931,NA,NA
"66","F1044E1",66,-9.99414199672027,-10.7776967853663,NA,NA
"67","F1044E1",67,-9.42749913604999,-10.9719887561931,NA,NA
"68","F1044E1",68,-9.0636088998991,-10.9719887561931,NA,NA
"69","F1044E1",69,-9.28886929223776,-11.16628072702,NA,NA
"70","F1044E1",70,-9.91596834813686,-11.499202587399,NA,NA
"71","F1044E1",71,-9.85843179774652,-11.499202587399,NA,NA
"72","F1044E1",72,-10.6503350507555,-11.499202587399,NA,NA
"73","F1044E1",73,-10.7889648945677,-11.499202587399,NA,NA
"74","F1044E1",74,-10.7889648945677,-11.16628072702,NA,NA
"75","F1044E1",75,-11.0142252869064,-11.16628072702,NA,NA
"76","F1044E1",76,-11.5167449591692,-10.9465579669928,NA,NA
"77","F1044E1",77,-11.0717618372967,-10.7522659961659,NA,NA
"78","F1044E1",78,-10.6558729174107,-10.4193441357869,NA,NA
"79","F1044E1",79,-9.6830781354723,-10.7522659961659,NA,NA
"80","F1044E1",80,-9.01837210286654,-10.5579740253391,NA,NA
"81","F1044E1",81,-8.57338898099401,-10.9719887561931,NA,NA
"82","F1044E1",82,-8.43475954488202,-11.16628072702,NA,NA
"83","F1044E1",83,-9.07590885710669,-11.3049106165721,NA,NA
"84","F1044E1",84,-9.4342607509523,-10.9719887561931,NA,NA
"85","F1044E1",85,-9.34589445935328,-11.16628072702,NA,NA
"86","F1044E1",86,-9.56561718888715,-10.8333588666409,NA,NA
"87","F1044E1",87,-10.1492297468717,-10.6390668958141,NA,NA
"88","F1044E1",88,-10.1492297468717,-10.5004370062619,NA,NA
"89","F1044E1",89,-10.7636726349645,-10.8333588666409,NA,NA
"90","F1044E1",90,-11.5167449591692,-10.8333588666409,NA,NA
"91","F1044E1",91,-11.378115115357,-11.16628072702,NA,NA
