,Interval,Time_min,video,SSI_pa_th
89,90,14.8333333333,F1044L.VOB,0.000663211744611
90,91,15.0,F1044L.VOB,0.0147509020359
91,92,15.1666666667,F1044L.VOB,0.00585036809219
92,93,15.3333333333,F1044L.VOB,0.00118515776545
93,94,15.5,F1044L.VOB,0.0246729556757
94,95,15.6666666667,F1044L.VOB,2.66237690094e-06
95,96,15.8333333333,F1044L.VOB,0.000290460080116
96,97,16.0,F1044L.VOB,0.00280159393215
97,98,16.1666666667,F1044L.VOB,0.0165228830342
98,99,16.3333333333,F1044L.VOB,0.0139890398287
99,100,16.5,F1044L.VOB,0.00615666483637
100,101,16.6666666667,F1044L.VOB,0.00250163338699
101,102,16.8333333333,F1044L.VOB,0.0143511623216
102,103,17.0,F1044L.VOB,0.00267838758631
103,104,17.1666666667,F1044L.VOB,0.00663675062954
104,105,17.3333333333,F1044L.VOB,0.0189562278149
105,106,17.5,F1044L.VOB,0.0125444144506
106,107,17.6666666667,F1044L.VOB,8.84290791965e-05
107,108,17.8333333333,F1044L.VOB,0.00943372057285
108,109,18.0,F1044L.VOB,0.0108694362623
109,110,18.1666666667,F1044L.VOB,0.00848352572018
110,111,18.3333333333,F1044L.VOB,0.0180254317244
111,112,18.5,F1044L.VOB,0.00992808937724
112,113,18.6666666667,F1044L.VOB,0.00341495436786
113,114,18.8333333333,F1044L.VOB,0.00723170329862
114,115,19.0,F1044L.VOB,9.98595155846e-05
115,116,19.1666666667,F1044L.VOB,2.14384712457e-05
116,117,19.3333333333,F1044L.VOB,0.00996033883876
