"","video","frame_index","slidedPatient","slidedTherapist"
"218","F1044H2",218,0.0077544856,0.00571975415
"219","F1044H2",219,0.0075096616,0.00549440815
"220","F1044H2",220,0.0068932276,0.00672030015
"221","F1044H2",221,0.005905184,0.00822561415
"222","F1044H2",222,0.0048515626,0.00938839815
"223","F1044H2",223,0.00266125822,0.01006444015
"224","F1044H2",224,0.00147648022,0.01134440815
"225","F1044H2",225,0.00068954322,0.01020865415
"226","F1044H2",226,0.00052778382,0.00817152215
"227","F1044H2",227,0.00072451722,0.00713493215
"228","F1044H2",228,0.0014633636,0.00626959815
"229","F1044H2",229,0.0023639696,0.00461104615
"230","F1044H2",230,0.0033826146,0.00484540815
"231","F1044H2",231,0.0041302056,0.00511582415
"232","F1044H2",232,0.0043313116,0.00485442015
"233","F1044H2",233,0.0042045276,0.00493554615
"234","F1044H2",234,0.0031815096,0.00531413015
"235","F1044H2",235,0.0020841708,0.00489047815
"236","F1044H2",236,0.00131909242,0.00555750615
"237","F1044H2",237,0.00091250922,0.00562961815
"238","F1044H2",238,0.00038788422,0.00536821415
"239","F1044H2",239,0.00089065022,0.00598115815
"240","F1044H2",240,0.00118793702,0.00649494815
"241","F1044H2",241,0.0015289434,0.00588200415
"242","F1044H2",242,0.0020623126,0.00628762815
"243","F1044H2",243,0.0036973916,0.00683747615
"244","F1044H2",244,0.0049083996,0.00582792215
"245","F1044H2",245,0.0056035276,0.00525103415
"246","F1044H2",246,0.0061718696,0.00536821415
"247","F1044H2",247,0.0058789536,0.00497160415
"248","F1044H2",248,0.0043837736,0.00500766015
"249","F1044H2",249,0.0030547236,0.00535920015
"250","F1044H2",250,0.0028361296,0.00562961615
"251","F1044H2",251,0.0034787956,0.00510681015
"252","F1044H2",252,0.0041302036,0.00489949015
"253","F1044H2",253,0.0047072916,0.00460203215
"254","F1044H2",254,0.0050876456,0.00499864415
"255","F1044H2",255,0.0052887516,0.00502568615
"256","F1044H2",256,0.0046285996,0.00530511815
"257","F1044H2",257,0.0043662876,0.00542230015
"258","F1044H2",258,0.0039946776,0.00547638215
"259","F1044H2",259,0.0037279936,0.00494456215
"260","F1044H2",260,0.0033476416,0.00526906215
"261","F1044H2",261,0.0029847756,0.00543131015
"262","F1044H2",262,0.0026787456,0.00617044815
"263","F1044H2",263,0.0024732676,0.00846898615
"264","F1044H2",264,0.001861205,0.01129935215
"265","F1044H2",265,0.0013190926,0.01277763615
"266","F1044H2",266,0.000833815,0.01361592815
"267","F1044H2",267,0.0005627582,0.01290383015
"268","F1044H2",268,0.0003485374,0.01102894415
"269","F1044H2",269,0.00026547188,0.00888363415
"270","F1044H2",270,0.00018677828,0.00708085015
"271","F1044H2",271,0.00012994388,0.00626058615
"272","F1044H2",272,4.687842e-05,0.00702676615
"273","F1044H2",273,3.81347e-05,0.00698169815
"274","F1044H2",274,5.12503e-05,0.00658508615
"275","F1044H2",275,5.999404e-05,0.00688254415
"276","F1044H2",276,5.999404e-05,0.00677437815
"277","F1044H2",277,5.12503e-05,0.00627861615
"278","F1044H2",278,4.687844e-05,0.00676536615
"279","F1044H2",279,2.939096e-05,0.00687353415
"280","F1044H2",280,2.064722e-05,0.00654903415
"281","F1044H2",281,2.064722e-05,0.00692761815
"282","F1044H2",282,2.064722e-05,0.00681043615
